occupancy_group,building_count,share
Residential,36936842,0.8488457881653151
Unknown,1954327,0.044912400541653116
Agricultural,1657237,0.03808497346475159
Commercial,1051747,0.024170204132922507
Industrial,853577,0.019616058170993208
Mixed,692036,0.015903683478375653
Education,174956,0.004020664888304497
Assembly,96750,0.0022234123319203694
Government,96724,0.0022228148257639876
