ContractID,LocationID,Latitude,Longitude,CITY,POSTALCODE,CRESTA,COUNTRYISO,RiskCount,ConstructionCodeType,ConstructionCode,OccupancyCodeType,OccupancyCode,YEARBUILT,STORIES,RepValBldg,RepValCont,DeductBldg,DeductType,Currency,CustomElevation
SV074737544,324487,53.151671,12.185118,Pritzwalk,16928,16,DE,1,AIR,100,AIR,303,0,0,2424525,0,2500,C,EUR,-999
SV075597949,415590,49.983133,8.674743,Langen,63225,63,DE,1,AIR,100,AIR,303,0,0,2718080,0,2500,C,EUR,-999
SV075597949,415592,49.982655,8.674456,Langen,63225,63,DE,1,AIR,100,AIR,303,0,0,2941664,0,2500,C,EUR,-999
SV075597949,415683,49.988313,8.643233,Langen,63225,63,DE,1,AIR,100,AIR,303,0,0,1637424,0,2500,C,EUR,-999
SV075597949,415442,49.854349,8.568327,Griesheim,64347,64,DE,1,AIR,100,AIR,303,0,0,1742640,0,2500,C,EUR,-999
SV075597949,415506,50.052819,8.517803,Kelsterbach,65451,65,DE,1,AIR,100,AIR,303,0,0,1317392,0,2500,C,EUR,-999
SV075597949,415574,49.98363,8.674004,Langen,63225,63,DE,1,AIR,100,AIR,303,0,0,2130624,0,2500,C,EUR,-999
SV074450713,352507,49.88312,10.914186,Bamberg,96050,96,DE,1,AIR,100,AIR,303,0,0,868032,0,1000,C,EUR,-999
SV074450713,352514,49.882505,10.914382,Bamberg,96050,96,DE,1,AIR,100,AIR,303,0,0,1085040,0,1000,C,EUR,-999
SV074611260,212392,50.219632,8.616199,Bad Homburg,61352,61,DE,1,AIR,100,AIR,303,0,0,1146736,0,5000,C,EUR,-999
SV074611260,212406,49.980764,7.931596,R³desheim,65385,65,DE,1,AIR,100,AIR,303,0,0,1428932,0,5000,C,EUR,-999
SV074759028,338659,52.544508,13.14505,Berlin,13591,13,DE,1,AIR,100,AIR,303,0,0,839920,0,2500,C,EUR,-999
SV074759028,338689,52.537576,13.148946,Berlin,13591,13,DE,1,AIR,100,AIR,303,0,0,174737,0,2500,C,EUR,-999
SV074759028,338693,52.537598,13.148642,Berlin,13591,13,DE,1,AIR,100,AIR,303,0,0,176048,0,2500,C,EUR,-999
